MGRA,length,intcount
1,4722.590662335695,4
2,1225.719553366342,3
3,2654.116454387457,1
4,805.3671491462329,1
5,1668.9257479786834,1
6,1637.9281617022607,2
7,1627.6104363767204,3
8,1138.4855568031044,1
9,13103.949202623286,37
10,7448.513563776326,16
11,795.8704100711863,1
12,262.33627804381854,1
13,949.6104469315179,1
14,8309.401105454675,10
15,792.7468424960703,1
16,453.93195957246496,1
17,846.3917377271287,1
18,813.9770158399521,3
19,589.3848074243899,0
20,2862.859609687353,7
21,2365.205215672795,3
22,431.4644115226827,2
23,439.2623366309165,0
24,1477.349987840851,4
25,529.3666081371405,2
26,460.7221267904239,0
27,5687.039110158024,14
28,1046.8885649099523,2
29,925.4763195589545,0
30,1910.579158551045,1
31,1993.2703410648217,4
32,2855.47257171683,3
33,1865.2739363783312,5
34,615.5589837303237,0
35,1483.997234879389,1
36,699.6204792835459,2
37,274.25208255664586,0
38,614.4381556305041,4
39,213.9808317676647,0
40,2416.0858808060166,5
41,481.77400697763983,0
42,459.76723247931557,0
43,1423.579261679447,3
44,1255.6355069807832,2
45,3550.945602269869,5
46,632.4399608406442,1
47,735.0758356835584,0
48,3223.592776082518,6
49,928.656713514658,2
50,888.6419436674531,1
51,1464.480941261506,2
52,939.3162331691609,0
53,4700.573050958435,6
54,2965.3874763913423,5
55,600.3581807614378,0
56,284.05351236249686,0
57,786.9625618755019,2
58,1272.4221748575997,2
59,717.5385489163058,1
60,754.9568460496109,1
61,602.2037607254906,0
62,2081.7881556986313,2
63,1046.836321810464,1
64,510.6884302359008,2
65,707.6478981523568,0
66,769.4625315309397,1
67,873.7022731131519,1
68,6619.182036722092,5
69,1097.810754950709,2
70,1443.6605108156596,2
71,895.9617544263136,2
72,2287.549737141766,1
73,673.880771310783,3
74,866.0683880966516,4
75,721.826707719101,2
76,10963.06273018533,11
77,2744.325458563137,7
78,1316.645144753688,5
79,599.8842299438686,3
80,4046.1029696002597,6
81,938.0232982934234,2
82,4296.713882696382,3
83,305.7794972992682,0
84,5188.538302147394,5
85,630.9505731779251,0
86,1798.2121384659224,4
87,2853.619100748594,2
88,787.9535229125972,0
89,1324.8433686654075,3
90,2522.913270895595,3
91,9044.921398120236,1
92,2362.9181282151044,5
93,290.3739611903769,2
94,600.0849527685693,2
95,558.2583944146073,1
96,1041.8890595066787,1
97,1392.4833124541865,1
98,1373.5490952598411,3
99,659.8580733803278,1
100,612.6710055743097,1
101,5691.5692824451025,4
102,855.3109717722962,2
103,185.4751770844242,1
104,5725.937679247002,5
105,2397.7706153445815,1
106,3406.406145373604,5
107,4374.724329256195,6
108,6998.914745525024,6
109,4120.084359339129,6
110,1795.995705916429,6
111,762.0895505063156,1
112,2244.8744666540188,4
113,1601.1610841897711,2
114,8530.7046606805,11
115,2836.001828264738,3
116,792.3400065873,1
117,732.6534945417495,3
118,1175.2011265283143,0
119,2080.9802768806576,2
120,2044.3257313048543,1
121,3186.7477991577393,2
122,139.12243419455612,0
123,608.596824257633,0
124,1479.0093551007362,1
125,2946.4484057490654,3
126,1026.8076321835283,0
127,3543.131178527799,4
128,951.8689106632157,1
129,934.8116501947675,0
130,845.6991832639424,2
131,674.7325959048843,1
132,546.310323860565,0
133,1188.5000046804544,2
134,960.1660653860444,1
135,677.9489009744768,2
136,755.4170019244618,2
137,625.0636027483677,1
138,1767.715461570688,3
139,551.9472705425045,0
140,815.0763196692282,1
141,1200.793230994337,1
142,1725.699521462743,3
143,962.7982456545234,1
144,1250.000877701593,1
145,1572.895748158497,1
146,559.383759190983,1
147,1341.5399389883703,0
148,5179.672452276559,7
149,2320.621009288722,1
150,1314.7258939201026,0
151,2780.226390892673,4
152,532.5295638959519,1
153,755.4096524532308,0
154,296.1100523304216,1
155,1874.0047997608779,1
156,2628.561571732882,6
157,288.13535559840045,0
158,166.2845781426421,0
159,1509.054269762646,6
160,1079.5761596590655,1
161,1979.0753260859988,2
162,721.0908030071416,2
163,1214.7976978645856,2
164,816.376769996568,2
165,815.0358483510296,1
166,4343.331821848627,7
167,2030.1429456905917,3
168,339.7496272574936,1
169,2223.5265918288424,6
170,2605.065058891755,4
171,2075.1151230234054,3
172,0.0,0
173,1764.9408254156479,2
174,978.2713228646799,0
175,0.0,0
176,1277.7560757876217,1
177,3170.12140376286,4
178,1036.8990196397617,1
179,661.1363429334808,1
180,769.8790833323541,1
181,854.7816817485821,2
182,703.6316427663041,1
183,6126.463212042935,10
184,1416.4451672436264,1
185,6842.754596511293,20
186,877.8920289124951,1
187,452.795766135679,1
188,2289.7577133563286,3
189,1122.8324648104851,1
190,1134.25759365122,2
191,191.86886092803454,0
192,1910.949953886789,3
193,450.16809592056353,2
194,2436.608601874091,4
195,548.803374473398,2
196,1225.0760653118887,1
197,4637.574336520783,6
198,934.079433832138,1
199,538.0457434195,1
200,3401.535741314787,1
201,867.6028396497989,2
202,917.3708161428206,2
203,1893.0445028299112,3
204,976.5103943014187,2
205,4276.2714889094,5
206,1867.399695478412,4
207,812.1068944911901,1
208,2624.2810725315126,3
209,1503.2176021684495,4
210,807.9026684477041,3
211,304.0643240045243,0
212,2570.94363868148,7
213,348.0622987103912,2
214,1045.568922080561,2
215,955.4376802899222,1
216,210.33332262501634,1
217,3098.7864326012927,3
218,1404.923078797422,3
219,1177.5104469362573,5
220,970.294295335082,0
221,714.9613744272947,0
222,966.1328740894,3
223,1193.031083285964,2
224,79.55408371754247,0
225,6898.703058053273,9
226,639.3714440990309,0
227,894.3621971941004,0
228,843.5770823881982,1
229,1159.281536064216,4
230,2527.198609066773,3
231,1947.5671762273032,3
232,1214.2631316116338,2
233,792.1310397553048,1
234,362.62088675544277,0
235,1330.537357371586,1
236,1426.6646261615774,2
237,779.2186579753713,1
238,981.767211344305,7
239,1454.4137638187708,3
240,691.3691207853668,1
241,696.7116942231256,2
242,1057.9741886496154,1
243,4053.8178604449367,5
244,4711.621496052658,6
245,7.364877958571463,0
246,1600.2966625942406,2
247,645.7738429265173,1
248,995.4236445245607,1
249,658.4187896127092,1
250,1077.722491006889,0
251,989.2160731470145,3
252,4936.044750209014,4
253,1619.2937322126272,2
254,674.1425849330525,0
255,896.9406374136894,0
256,2562.701258379165,4
257,1737.2510021321177,2
258,1300.7260340704543,5
259,732.2888831629696,3
