mgra,free_spaces,paid_spaces,spaces,hourly,daily,monthly
2,22.0,102.0,124.0,1.25,,
12,26.0,51.0,77.0,1.25,,
16,52.0,52.0,104.0,1.25,,
25,10.0,34.0,44.0,1.25,,
28,60.0,110.0,170.0,1.25,,
36,24.0,233.0,257.0,3.625,17.0,200.0
49,394.0,25.0,419.0,1.25,,
52,15.0,0.0,15.0,,,
55,2.0,43.0,45.0,,40.0,
56,16.0,84.0,100.0,1.25,,
59,90.0,12.0,102.0,,,
67,7.0,81.0,88.0,,,
69,131.0,2.0,133.0,,,
70,103.0,16.0,119.0,,,
74,44.0,0.0,44.0,,,
81,83.0,405.0,488.0,6.0,30.0,200.0
85,87.0,0.0,87.0,,,
86,107.0,42.0,149.0,,,
93,22.0,58.0,80.0,,,
94,51.0,31.0,82.0,1.25,,
97,161.0,0.0,161.0,,,
99,56.0,105.0,161.0,1.10713812765443,,
102,36.0,124.0,160.0,1.25,,
124,96.0,90.0,186.0,0.692307692307692,,
131,3.0,46.0,49.0,1.25,,
132,26.0,120.0,146.0,1.25,,
133,307.0,185.0,492.0,,,
135,460.0,18.0,478.0,1.25,,
142,98.0,0.0,98.0,,,
145,191.0,63.0,254.0,1.24999999999999,,
147,128.0,0.0,128.0,,,
159,32.0,125.0,157.0,15.0,15.0,
162,252.0,644.0,896.0,1.120260663507109,13.7863999040134,4.55696202531645
182,115.0,0.0,115.0,,,
186,141.0,35.0,176.0,,,
190,143.0,0.0,143.0,,,
193,33.0,0.0,33.0,,,
201,80.0,0.0,80.0,,,
204,69.0,87.0,156.0,1.25,,
213,435.0,0.0,435.0,,,
224,46.0,55.0,101.0,0.75,,
232,32.0,134.0,166.0,2.339196762141965,11.5342465753424,47.1232876712328
237,60.0,0.0,60.0,,,
238,25.0,384.0,409.0,,,
240,80.0,73.0,153.0,1.875,,
263,157.0,194.0,351.0,1.25,,
275,167.0,0.0,167.0,,,
282,178.0,0.0,178.0,,,
288,267.0,118.0,385.0,1.25,,
290,82.0,4.0,86.0,1.25,,
291,14.0,416.0,430.0,6.125,38.75,
292,8.0,117.0,125.0,0.914140100862394,,
294,76.0,0.0,76.0,,,
295,145.0,0.0,145.0,,,
300,8.0,402.0,410.0,4.625,28.0,190.0
303,211.0,241.0,452.0,0.25,,
305,35.0,80.0,115.0,,,
338,0.0,185.0,185.0,,,
339,73.0,0.0,73.0,,,
342,144.0,104.0,248.0,,,
350,248.0,693.0,941.0,1.87581699346405,9.7516339869281,84.4117647058823
371,20.0,0.0,20.0,,,
374,19.0,0.0,19.0,,,
377,0.0,116.0,116.0,1.25,,
387,97.0,15.0,112.0,1.25,,
392,40.0,0.0,40.0,,,
401,165.0,199.0,364.0,,,
402,435.0,0.0,435.0,,,
407,0.0,133.0,133.0,15.0,24.7439024390243,147.073170731707
411,90.0,4.0,94.0,,,
418,70.0,0.0,70.0,,,
430,122.0,28.0,150.0,1.25,,
431,42.0,0.0,42.0,,,
436,13.0,37.0,50.0,,,
437,7.0,298.0,305.0,4.551701570680625,18.848167539267,161.75392670157
449,44.0,0.0,44.0,,,
453,40.0,25.0,65.0,,,
457,167.0,0.0,167.0,,,
465,48.0,48.0,96.0,1.25,,
471,46.0,103.0,149.0,,,
475,72.0,23.0,95.0,1.24999999999999,,
490,52.0,53.0,105.0,2.5,,
493,146.0,0.0,146.0,,,
494,21.0,0.0,21.0,,,
506,200.0,24.0,224.0,1.25,,
519,14.0,105.0,119.0,11.875,34.5,
520,16.0,110.0,126.0,1.25,,
522,6.0,0.0,6.0,,,
527,24.0,0.0,24.0,,,
528,124.0,0.0,124.0,,,
535,361.0,0.0,361.0,,,
542,270.0,0.0,270.0,,,
543,11.0,343.0,354.0,6.875,22.5,240.0
551,367.0,19.0,386.0,1.25,,
559,100.0,37.0,137.0,1.25,,
560,10.0,3.0,13.0,1.0,,
564,177.0,43.0,220.0,,,
574,122.0,112.0,234.0,2.125,5.0,
575,287.0,40.0,327.0,1.25,,
589,115.0,0.0,115.0,,,
603,120.0,277.0,397.0,5.69940476190475,15.0824175824175,125.274725274725
604,58.0,162.0,220.0,10.125,19.0,185.0
