mgra,free_spaces,paid_spaces,spaces,hourly,daily,monthly,hourly_imputed,daily_imputed,monthly_imputed,imputed,imputed_types,cost_types
2,22.0,102.0,124.0,1.25,,,1.25,17.067553412074574,139.19729227652093,True,daily & monthly,hourly
12,26.0,51.0,77.0,1.25,,,1.25,17.013026625577073,141.3261230494503,True,daily & monthly,hourly
16,52.0,52.0,104.0,1.25,,,1.25,16.628018535355764,140.1676429699984,True,daily & monthly,hourly
25,10.0,34.0,44.0,1.25,,,1.25,17.25146176896632,142.77798643253558,True,daily & monthly,hourly
28,60.0,110.0,170.0,1.25,,,1.25,16.50424786017126,137.2092419096651,True,daily & monthly,hourly
36,24.0,233.0,257.0,3.625,17.0,200.0,3.625,17.0,200.0,False,,hourly & daily & monthly
49,394.0,25.0,419.0,1.25,,,1.25,11.567374775205714,126.74012840587739,True,daily & monthly,hourly
52,15.0,0.0,15.0,,,,2.8340833857359953,18.593101967038308,147.10791072905508,True,hourly & daily & monthly,None
55,2.0,43.0,45.0,,40.0,,7.950903502552011,40.0,181.35213801618585,True,hourly & monthly,daily
56,16.0,84.0,100.0,1.25,,,1.25,17.158035880301497,140.26603309390904,True,daily & monthly,hourly
59,90.0,12.0,102.0,,,,2.71235172264219,17.376355045462216,143.1287168013673,True,hourly & daily & monthly,None
67,7.0,81.0,88.0,,,,3.1424973285441475,18.981517882322784,144.38727006436818,True,hourly & daily & monthly,None
69,131.0,2.0,133.0,,,,2.5863458180797605,16.659147244520483,141.58641704215563,True,hourly & daily & monthly,None
70,103.0,16.0,119.0,,,,2.6981453951924395,17.17148735495677,142.36559937027732,True,hourly & daily & monthly,None
74,44.0,0.0,44.0,,,,2.770353726247326,18.108041643379057,145.74664941244066,True,hourly & daily & monthly,None
81,83.0,405.0,488.0,6.0,30.0,200.0,6.0,30.0,200.0,False,,hourly & daily & monthly
85,87.0,0.0,87.0,,,,2.675858024246882,17.38881426691879,143.72822746021927,True,hourly & daily & monthly,None
86,107.0,42.0,149.0,,,,2.782709011211755,17.186307920277233,141.18400972293256,True,hourly & daily & monthly,None
93,22.0,58.0,80.0,,,,3.0269514031350977,18.65832903209399,144.56232621844086,True,hourly & daily & monthly,None
94,51.0,31.0,82.0,1.25,,,1.25,16.64475462072324,141.15757348275972,True,daily & monthly,hourly
97,161.0,0.0,161.0,,,,2.5132375138275163,16.151074130684837,140.2546641005825,True,hourly & daily & monthly,None
99,56.0,105.0,161.0,1.10713812765443,,,1.10713812765443,16.43571895566456,137.33324852678146,True,daily & monthly,hourly
102,36.0,124.0,160.0,1.25,,,1.25,16.858267290652105,137.60557152838933,True,daily & monthly,hourly
124,96.0,90.0,186.0,0.692307692307692,,,0.692307692307692,15.472644159739055,135.50477353692736,True,daily & monthly,hourly
131,3.0,46.0,49.0,1.25,,,1.25,17.353989246237816,142.53653780696126,True,daily & monthly,hourly
132,26.0,120.0,146.0,1.25,,,1.25,17.006679875257856,138.21419605053,True,daily & monthly,hourly
133,307.0,185.0,492.0,,,,2.8566406445254597,14.290554215355424,126.32993858124794,True,hourly & daily & monthly,None
135,460.0,18.0,478.0,1.25,,,1.25,10.590923911889842,124.22955962879169,True,daily & monthly,hourly
142,98.0,0.0,98.0,,,,2.651684705130491,17.204825868289415,143.2118869608138,True,hourly & daily & monthly,None
