mgra,on_street_free_spaces,on_street_paid_spaces,on_street_hourly_cost_during_business,on_street_hourly_cost_after_business,off_street_free_spaces,off_street_paid_public_spaces,off_street_paid_private_spaces,off_street_paid_public_hourly_cost_during_business,off_street_paid_public_hourly_cost_after_business,off_street_paid_public_daily_cost,off_street_paid_public_monthly_cost,off_street_paid_private_hourly_cost_during_business,off_street_paid_private_hourly_cost_after_business,off_street_paid_private_daily_cost,off_street_paid_private_monthly_cost,off_street_residential_spaces
2,0,27,1.25,1.25,0,75,75,,,,,,,,,22
12,18,3,1.25,0.0,0,30,48,,,,,,,,,8
16,52,2,1.25,0.0,0,50,50,,,,,,,,,0
25,10,24,1.25,1.25,0,10,10,,,,,,,,,0
28,20,12,1.25,1.25,0,12,98,,,,,,,,,40
36,24,3,1.25,1.25,0,230,230,,,,,6.0,6.0,17.0,200.0,0
49,5,25,1.25,1.25,,,,,,,,,,,,389
52,,,,,,,,,,,,,,,,15
55,0,20,,,0,18,23,,,,,,,40.0,,2
56,16,9,1.25,1.25,0,0,75,,,,,,,,,0
59,44,0,,,0,8,12,,,,,,,,,46
67,7,0,,,0,0,81,,,,,,,,,0
69,74,0,,,0,2,2,,,,,,,,,57
70,88,0,,,0,16,16,,,,,,,,,15
74,,,,,,,,,,,,,,,,44
81,0,16,0.0,0.0,0,388,389,,,,,12.0,12.0,30.0,200.0,83
85,40,0,,,,,,,,,,,,,,47
86,58,0,,,0,31,42,,,,,,,,,49
93,22,0,0.0,0.0,0,0,58,,,,,,,,,0
94,30,4,1.25,1.25,0,27,27,,,,,,,,,21
97,,,,,,,,,,,,,,,,161
99,0,31,1.10713812765443,1.10713812765443,0,64,74,,,,,,,,,56
102,7,10,1.25,1.25,0,114,114,,,,,,,,,29
124,64,0,,,0,76,90,,,,,0.692307692307692,0.692307692307692,,,32
131,0,22,1.25,1.25,0,8,24,,,,,,,,,3
132,14,12,1.25,0.0,0,108,108,,,,,,,,,12
133,14,8,,,0,177,177,,,,,,,,,293
135,14,18,1.25,1.25,0,0,0,,,,,,,,,446
142,44,0,,,0,0,0,,,,,,,,,54
145,0,9,1.24999999999999,0.0,0,50,54,,,,,,,,,191
147,,,,,,,,,,,,,,,,128
159,32,0,,,0,94,125,,,,,15.0,15.0,15.0,,0
162,0,24,1.25,1.25,0,620,620,,,,,0.60918471414002,0.990521327014218,13.7863999040134,4.55696202531645,252
182,,,,,,,,,,,,,,,,115
186,8,35,0.0,0.0,,,,,,,,,,,,133
190,,,,,,,,,,,,,,,,143
193,33,0,,,0,0,0,,,,,,,,,0
201,42,0,,,0,0,0,,,,,,,,,38
204,0,40,1.25,0.0,0,5,47,,,,,,,,,69
213,18,0,,,,,,,,,,,,,,417
224,10,8,,,36,0,47,0.75,0.75,,,,,,,0
232,6,13,1.25,0.0,0,86,121,,,,,3.42839352428393,3.42839352428393,11.5342465753424,47.1232876712328,26
237,,,,,,,,,,,,,,,,60
238,25,0,0.0,0.0,0,0,384,,,,,,,,,0
240,16,11,1.25,0.0,0,54,62,,,,,,2.5,,,64
263,0,48,1.25,1.25,0,128,146,,,,,,,,,157
275,26,0,,,,,,,,,,,,,,141
282,,,,,,,,,,,,,,,,178
288,20,37,1.25,0.0,0,0,81,,,,,,,,,247
290,15,4,1.25,0.0,,,,,,,,,,,,67
291,,,,,14,402,416,1.75,,,,10.5,10.5,38.75,,0
292,8,31,0.914140100862394,0.0,0,72,86,,,,,,,,,0
294,,,,,,,,,,,,,,,,76
295,45,0,,,,,,,,,,,,,,100
300,8,20,1.25,1.25,0,382,382,,,,,8.0,8.0,28.0,190.0,0
303,25,133,0.25,0.25,0,37,108,,,,,,,,,186
305,8,34,,,0,4,46,,,,,,,,,27
338,0,47,,,0,0,138,,,,,,,,,0
339,21,0,,,0,0,0,,,,,,,,,52
342,39,0,0.0,0.0,0,104,104,,,,,,,,,105
350,133,0,,,0,670,693,,,,,1.87581699346405,1.87581699346405,9.7516339869281,84.4117647058823,115
371,,,,,,,,,,,,,,,,20
374,5,0,,,0,0,0,,,,,,,,,14
377,0,26,1.25,1.25,0,0,90,,,,,,,,,0
387,24,5,1.25,0.0,0,10,10,,,,,,,,,73
392,,,,,,,,,,,,,,,,40
401,72,0,,,0,157,199,,,,,,,,,93
402,,,,,,,,,,,,,,,,435
407,0,25,0.0,0.0,0,108,108,,,,,30.0,30.0,24.7439024390243,147.073170731707,0
411,12,0,,,0,0,4,,,,,,,,,78
418,15,0,,,,,,,,,,,,,,55
430,8,0,1.25,0.0,0,21,28,,,,,,,,,114
431,37,0,,,0,0,0,,,,,,,,,5
436,0,24,,,0,6,13,,,,,,,,,13
437,7,5,1.25,1.25,0,293,293,,,,,6.282722513089,7.85340314136125,18.848167539267,161.75392670157,0
449,,,,,,,,,,,,,,,,44
453,20,0,,,0,19,25,,,,,,,,,20
457,,,,,,,,,,,,,,,,167
465,16,12,1.25,0.0,0,24,36,,,,,,,,,32
471,44,0,,,0,0,103,,,,,,,,,2
475,42,5,1.24999999999999,0.0,0,0,18,,,,,,,,,30
490,21,2,2.5,1.25,0,46,51,,,,,,,,,31
493,25,0,,,0,0,0,,,,,,,,,121
494,2,0,,,,,,,,,,,,,,19
506,0,24,1.25,1.25,0,0,0,,,,,,,,,200
518,,,,,,,,,,,,,,,,0
519,14,7,1.25,1.25,0,94,98,,,,,22.5,22.5,34.5,,0
