mgra,on_street_free_spaces,on_street_paid_spaces,on_street_hourly_cost_during_business,on_street_hourly_cost_after_business,off_street_free_spaces,off_street_paid_public_spaces,off_street_paid_private_spaces,off_street_paid_public_hourly_cost_during_business,off_street_paid_public_hourly_cost_after_business,off_street_paid_public_daily_cost,off_street_paid_public_monthly_cost,off_street_paid_private_hourly_cost_during_business,off_street_paid_private_hourly_cost_after_business,off_street_paid_private_daily_cost,off_street_paid_private_monthly_cost,off_street_residential_spaces
520,14,17,1.25,0.0,0,89,93,,,,,,,,,2
522,6,0,,,,,,,,,,,,,,0
527,24,0,,,0,0,0,,,,,,,,,0
528,64,0,,,0,0,0,,,,,,,,,60
535,50,0,,,,,,,,,,,,,,311
542,,,,,,,,,,,,,,,,270
543,11,8,1.25,1.25,0,302,335,,,,,8.0,12.5,22.5,240.0,0
546,,,,,,,,,,,,,,,,0
551,0,19,1.25,1.25,,,,,,,,,,,,367
559,33,7,1.25,0.0,0,9,30,,,,,,,,,67
560,10,3,1.0,1.0,0,0,0,,,,,,,,,0
564,0,29,,,0,10,14,,,,,,,,,177
574,22,8,1.25,0.0,0,102,104,,,,,3.0,3.0,5.0,,100
575,21,7,1.25,0.0,0,12,33,,,,,,,,,266
586,,,,,,,,,,,,,,,,0
589,,,,,,,,,,,,,,,,115
603,0,20,1.25,1.25,0,147,257,,,,,10.1488095238095,7.51144688644688,15.0824175824175,125.274725274725,120
604,6,16,1.25,1.25,0,67,146,,,,,19.0,19.0,19.0,185.0,52
615,22,18,1.25,1.25,0,1158,1158,,,,,7.76179427687548,7.76179427687548,19.6519721577726,108.15158546017,0
618,,,,,,,,,,,,,,,,264
619,,,,,,,,,,,,,,,,6
635,0,31,0.0,0.0,0,12,23,,,,,,,,,269
637,29,8,,,0,22,22,,,,,,,,,14
638,,,,,,,,,,,,,,,,70
648,47,0,,,0,2,2,,,,,,,,,193
650,14,11,,,0,1234,1240,,,,,1.0,1.0,10.0,70.0,0
651,42,3,1.25,0.0,0,0,0,,,,,,,,,246
666,0,34,1.25,1.25,0,10,10,,,,,,,,,3
671,,,,,,,,,,,,,,,,6
682,,,,,,,,,,,,,,,,10
695,6,0,,,0,0,0,,,,,,,,,132
702,4,0,,,,,,,,,,,,,,99
707,30,0,,,0,82,86,,,,,10.0,10.0,60.0,,61
708,36,0,,,0,0,0,,,,,,,,,386
712,0,56,0.0,0.0,0,0,0,,,,,,,,,98
715,70,0,,,0,10,10,,,,,,,,,145
720,43,10,1.25,0.0,0,12,50,,,,,,,,,79
733,0,33,1.25,1.25,0,150,182,,,,,9.5,10.0,10.0,,43
736,0,46,,,0,0,54,,,,,,,,,10
738,14,0,,,0,0,0,,,,,,,,,57
741,0,22,,,0,62,95,,,,,,,,,6
744,3,0,,,,,,,,,,,,,,50
747,0,21,0.0,0.0,0,40,43,,,,,7.0,7.0,8.0,180.0,674
750,41,0,0.0,0.0,0,11,11,,,,,,,,,86
751,26,10,1.25,1.25,12,250,262,,,,,,,,,0
760,14,9,1.25,0.0,0,20,62,,,,,,,,,37
761,57,9,,,0,4,6,,,,,,,,,44
763,20,0,,,0,0,0,,,,,,,,,38
764,49,0,,,0,0,0,,,,,,,,,4
775,18,0,,,,,,,,,,,,,,52
786,26,0,,,0,50,50,,,,,,,,,59
792,0,29,0.0,0.0,0,101,101,,,,,10.0,10.0,10.9285714285714,110.238095238095,286
795,0,31,1.25,1.25,0,0,0,,,,,,,,,200
796,48,0,,,0,24,24,,,,,,,,,125
800,,,,,,,,,,,,,,,,38
802,13,106,0.25,0.25,0,61,175,,,,,,,,,39
805,63,0,,,,,,,,,,,,,,263
806,18,34,1.25,0.0,0,16,36,,,,,,,,,336
809,0,20,,,100,420,523,,,,,1.0,1.0,11.5,100.0,104
812,56,0,,,0,0,10,,,,,,,,,58
813,8,15,1.0,1.0,0,0,48,,,,,,,,,0
822,0,3,,,,,,,,,,,,,,52
825,,,,,,,,,,,,,,,,44
839,3,0,,,,,,,,,,,,,,35
841,,,,,,,,,,,,,,,,64
860,,,,,,,,,,,,,,,,69
861,4,0,,,0,0,0,,,,,,,,,8
866,0,43,0.817659629344006,0.817659629344006,0,17,17,,,,,,,,,18
872,15,4,1.25,1.25,0,142,147,,,,,4.06738569321533,4.47363569321533,11.75,,34
891,24,14,1.25,0.0,0,0,48,,,,,,,,,56
898,14,9,1.25,0.0,0,4,4,,,,,,,,,72
899,28,9,1.25,1.25,0,0,0,,,,,,,,,191
901,37,0,0.0,0.0,0,12,68,,,,,,,,,117
904,,,,,,,,,,,,,,,,27
905,,,,,,,,,,,,,,,,259
913,,,,,,,,,,,,,,,,430
915,47,0,,,0,0,33,,,,,,,,,18
929,,,,,,,,,,,,,,,,2566
931,,,,,,,,,,,,,,,,44
932,20,9,,,0,93,99,,,,,30.0,30.0,30.0,,0
933,8,9,1.25,0.0,0,0,6,,,,,,,,,26
937,,,,,,,,,,,,,,,,276
938,56,0,,,0,195,195,,,,,,,,,120
940,25,5,1.25,0.0,0,33,60,,,,,,,,,44
944,58,0,,,0,121,121,,,,,,,,,119
961,12,7,1.25,0.0,0,0,3,,,,,,,,,60
962,33,0,0.0,0.0,,,,,,,,,,,,97
966,,,,,,,,,,,,,,,,0
981,0,23,1.25,1.25,0,26,41,,,,,,,,,132
982,36,0,,,0,76,84,,,,,9.0,9.0,12.0,,0
984,0,33,1.25,1.25,0,58,58,,,,,13.5,12.5,18.5,200.0,5
991,14,0,,,0,0,0,,,,,,,,,0
1003,20,0,,,0,34,45,,,,,15.0,15.0,15.0,,
1006,38,0,0.0,0.0,,,,,,,,,,,,25
1013,0,15,1.0,1.0,,,,,,,,,,,,336
1015,0,25,1.25,1.25,0,80,88,,,,,8.79518072289156,8.79518072289156,10.0,,210
1016,7,28,1.25,1.25,0,5,11,,,,,,,,,109
1017,0,28,1.25,1.25,0,340,340,,,,,,,,,340
1038,0,31,1.25,1.25,0,9,11,,,,,,,,,349
1041,0,21,1.25,0.0,0,443,443,,,,,2.0,2.0,16.0,,0
1044,38,0,,,0,300,300,,,,,4.67325227963525,4.67325227963525,12.2310030395136,,98
1045,,,,,,,,,,,,,,,,48
1050,18,14,0.821428571428571,0.821428571428571,0,113,144,,,,,13.4785714285714,11.3357142857142,18.3892857142857,137.142857142857,353
1051,6,0,,,,,,,,,,,,,,74
1054,14,10,1.25,0.0,0,0,0,,,,,,,,,0
1056,8,12,1.0,1.0,0,128,128,,,,,,,,,109
1057,,,,,,,,,,,,,,,,276
1062,8,21,1.25,1.25,0,62,65,,,,,,,,,50
1068,5,0,,,0,8,37,,,,,,,,,0
1074,,,,,,,,,,,,,,,,2
1081,20,0,,,0,0,34,,,,,,,,,14
1082,67,0,,,0,0,5,,,,,,,,,40
1084,54,0,,,,,,,,,,,,,,149
1094,6,17,1.25,1.25,0,146,146,,,,,14.0,10.0,16.5,210.0,3
1096,15,8,1.25,0.0,0,55,55,,,,,,,,,103
1111,110,13,1.25,0.0,0,8,8,,,,,,,,,72
1114,0,39,,,0,17,79,,,,,,,,,2
1145,40,0,,,0,55,89,,,,,1.84186046511627,2.09186046511627,13.4790697674418,61.4046511627907,104
1147,76,0,,,0,0,20,,,,,,,,,112
1153,14,0,,,,,,,,,,,,,,143
1155,11,20,0.5,0.5,0,30,79,,,,,,,,,43
1156,70,0,,,,,,,,,,,,,,90
1163,30,0,,,0,30,30,,,,,,,,,39
1164,24,0,,,0,29,29,,,,,,,,,284
1177,1,0,,,,,,,,,,,,,,24
1178,0,30,1.25,1.25,0,508,508,,,,,,,,,508
1181,,,,,,,,,,,,,,,,65
1183,,,,,,,,,,,,,,,,148
1185,10,5,1.25,1.25,0,524,524,,,,,6.0,6.0,28.0,,0
1196,14,11,1.25,1.25,0,0,41,,,,,,,,,0
1201,39,0,,,,,,,,,,,,,,42
1202,8,21,1.25,0.0,0,35,71,,,,,,,,,0
1213,8,12,1.25,1.25,0,60,68,,,,,8.0,8.0,8.5,,0
1215,8,19,1.25,0.0,0,85,85,,,,,,,,,158
1233,4,0,,,,,,,,,,,,,,139
1237,0,19,1.25,0.0,0,22,31,,,,,,,,,40
1238,2,0,,,,,,,,,,,,,,103
1247,8,17,1.25,0.0,0,34,34,,,,,3.0,3.0,18.6,,132
1253,0,26,1.25,1.25,0,104,104,,,,,10.0,10.0,10.0,182.5,101
1258,52,0,,,0,120,194,,,,,2.8076923076923,2.8076923076923,6.53846153846153,,41
1269,14,18,1.25,1.25,0,113,179,,,,,20.0,20.0,30.0,150.0,24
1272,0,25,1.1402902305879,1.1402902305879,0,48,100,,,,,,,,,0
1286,,,,,,,,,,,,,,,,434
1291,,,,,,,,,,,,,,,,87
1293,38,6,1.25,0.0,0,72,270,,,,,,,,,57
1304,0,28,0.758627953376148,0.758627953376148,0,45,148,,,,,,,,,0
1305,5,11,1.25,1.25,0,280,280,,,,,6.0,6.0,14.0,,0
1306,30,4,2.5,1.25,0,423,423,,,,,,,11.99,,0
1307,35,0,,,0,6,6,,,,,,,,,241
1315,58,0,,,0,0,0,,,,,,,,,59
1321,37,1,1.25,0.0,0,0,0,,,,,,,,,96
1323,,,,,,,,,,,,,,,,174
1327,20,0,1.25,1.25,0,0,12,,,,,,,,,125
1328,19,0,,,0,12,24,,,,,,,,,5
1332,0,31,1.25,1.25,0,32,54,,,,,,,,,0
1335,6,10,0.0,0.0,0,0,42,,,,,,,,,10
1342,0,31,0.817179903080043,0.817179903080043,0,2,68,,,,,,,,,135
1344,,,,,,,,,,,,,,,,334
1349,17,21,,,0,11,23,,,,,,,,,17
1357,36,0,,,,,,,,,,,,,,54
1359,,,,,,,,,,,,,,,,54
1364,122,171,1.07956433513439,1.07956433513439,0,0,324,,,,,,,,,0
1365,,,,,,,,,,,,,,,,48
1367,8,17,0.0,0.0,0,94,94,,,,,10.0,10.0,12.0,150.0,161
1369,8,0,0.0,0.0,0,156,156,,,,,2.0,2.0,14.0,,480
1370,73,0,,,0,153,212,,,,,,,,,12
1373,,,,,,,,,,,,,,,,85
1390,,,,,,,,,,,,,,,,60
1391,126,0,,,0,0,0,,,,,,,,,257
1412,11,0,,,0,0,0,,,,,,,,,64
1415,9,17,1.25,0.0,0,10,48,,,,,,,,,41
1419,45,0,,,0,1,1,,,,,,,,,110
1422,,,,,,,,,,,,,,,,0
1426,22,49,1.25,1.25,0,30,32,,,,,,,,,363
1430,22,0,,,,,,,,,,,,,,48
1433,29,0,,,0,6,32,,,,,,,,,74
1434,44,0,,,0,6,6,,,,,,,,,102
1437,8,25,1.25,0.0,0,30,32,,,,,,,,,48
1444,5,50,1.25,1.25,0,18,18,,,,,,,,,0
1449,42,0,,,0,0,0,,,,,,,,,81
1453,,,,,,,,,,,,,,,,33
1455,47,3,1.25,0.0,0,5,63,,,,,,,,,24
1460,40,0,,,0,0,100,,,,,,,,,0
1467,5,9,1.25,0.0,0,10,28,,,,,,,,,6
1477,6,25,1.25,1.25,0,238,238,,,,,,,,,0
1480,16,0,0.0,0.0,0,91,91,,,,,,,32.0,,0
1485,0,89,1.03692469036456,1.03692469036456,0,0,0,,,,,,,,,700
1487,54,0,,,,,,,,,,,,,,81
1492,0,47,1.25,1.25,0,500,503,,,,,,,,,1254
1503,,,,,,,,,,,,,,,,183
1504,5,34,,,0,60,62,,,,,,,,,415
1508,0,19,,,0,101,121,,,,,20.0,20.0,22.8160919540229,,35
1509,0,32,1.0,1.0,0,0,8,,,,,,,,,184
1510,0,42,1.09375,1.09375,0,4,7,,,,,,,,,418
1520,70,0,,,0,0,0,,,,,,,,,48
1540,6,37,1.25,0.0,0,100,100,,,,,,,,,0
1542,14,0,,,0,53,53,,,,,10.0,10.0,8.0,,0
1543,14,20,,,0,326,328,,,,,,,,,317
1552,34,1,1.25,0.0,0,0,12,,,,,,,,,184
1559,14,0,0.0,0.0,0,142,142,,,,,16.9354838709677,16.2903225806451,23.4677419354838,,0
1570,0,19,1.25,0.0,0,42,70,,,,,,,,,5
1577,0,23,,,,,,,,,,,,,,127
1579,92,0,,,0,59,81,,,,,,,,,45
1606,28,23,1.25,1.25,0,55,63,,,,,5.0,5.0,32.5,195.0,367
1607,9,6,1.25,0.0,0,53,53,,,,,,,,,51
1612,12,0,,,,,,,,,,,,,,65
1617,50,0,,,,,,,,,,,,,,240
1618,56,0,,,0,0,0,,,,,,,,,161
1625,14,1,0.0,0.0,0,0,0,,,,,,,,,0
1627,47,34,1.25,0.0,0,102,130,,,,,,,,,199
1632,0,18,1.25,1.25,0,212,228,,,,,10.0,10.0,17.5,,0
1634,26,0,,,0,0,0,,,,,,,,,77
1662,30,0,,,0,13,13,,,,,,,,,72
1663,,,,,0,0,0,,,,,,,,,60
1666,7,3,1.25,0.0,0,0,0,,,,,,,,,59
1669,,,,,0,0,0,,,,,,,,,76
1679,,,,,0,0,0,,,,,,,,,0
1681,27,0,,,,,,,,,,,,,,29
1683,37,0,,,,,,,,,,,,,,65
1704,0,32,1.25,1.25,0,0,0,,,,,,,,,204
1707,5,0,,,0,0,120,,,,,,,,,12
1709,,,,,,,,,,,,,,,,152
1710,16,6,1.25,1.25,,,,,,,,,,,,100
1711,14,5,0.5,0.5,0,2,2,,,,,,,,,67
1716,6,0,,,,,,,,,,,,,,0
1717,18,0,0.0,0.0,0,22,32,,,,,,,,,91
1726,2,0,0.0,0.0,0,0,0,,,,,,,,,108
1728,,,,,,,,,,,,,,,,0
1729,8,0,0.0,0.0,0,240,240,,,,,8.0,8.0,24.0,170.0,0
1739,20,0,,,,,,,,,,,,,,125
1753,17,12,1.25,1.25,0,158,185,,,,,,,,,217
1761,19,111,,,0,0,10,,,,,,,,,50
1770,0,64,1.25,0.0,0,116,278,,,,,3.54407649253731,3.51049440298507,23.125,,42
1774,3,38,,,0,0,24,,,,,,,,,51
1776,4,0,,,,,,,,,,,,,,60
1783,,,,,0,0,0,,,,,,,,,60
1784,,,,,,,,,,,,,,,,259
1788,,,,,,,,,,,,,,,,75
1793,0,22,1.25,0.0,0,27,32,,,,,,,,,104
1802,20,0,,,13,250,263,,,,,,,,,0
1812,0,24,1.25,1.25,6,0,22,,,,,,,,,297
1814,9,0,,,0,97,97,,,,,,,,,0
1818,,,,,,,,,,,,,,,,280
1826,10,0,,,,,,,,,,,,,,136
1842,8,35,1.25,0.0,0,110,163,,,,,0.97165991902834,2.18876518218623,4.67611336032388,,131
1848,16,1,1.25,0.0,0,8,10,,,,,,,,,135
1854,,,,,,,,,,,,,,,,0
1861,0,26,,,0,30,46,,,,,20.0,20.0,30.0,,86
1862,0,24,,,0,104,104,,,,,12.0,10.0,22.0,,168
1865,0,1,,,,,,,,,,,,,,0
1874,0,36,1.25,1.25,,,,,,,,,,,,450
1881,22,0,,,,,,,,,,,,,,278
1884,8,27,,,0,6,15,,,,,,,,,135
1885,68,0,,,0,14,14,,,,,,,,,82
1886,,,,,,,,,,,,,,,,152
1889,80,0,,,0,38,128,,,,,5.0,5.0,5.0,,59
1900,0,39,1.25,1.25,0,5,11,,,,,,,,,55
1901,9,15,1.25,1.25,0,968,968,,,,,,,,,968
1916,1,0,,,0,0,0,,,,,,,,,153
1920,9,6,1.25,1.25,0,340,340,,,,,6.0,6.0,24.0,191.5,0
1931,67,1,1.25,0.0,0,10,54,,,,,,,,,177
1939,0,29,,,0,589,913,,,,,19.5,12.0,9.0,,355
1951,23,0,,,,,,,,,,,,,,253
1953,25,4,1.25,0.0,0,29,40,,,,,,,,,21
1963,120,4,1.25,0.0,0,10,33,,,,,,,,,164
1965,28,10,1.25,1.25,0,1,3,,,,,,,,,521
1967,28,0,,,0,14,42,,,,,,,,,32
1974,5,29,,,0,7,9,,,,,,,,,411
1975,0,26,1.25,1.25,12,10,28,,,,,,,,,123
1976,14,12,,,0,376,427,,,,,,,,,511
1978,2,34,,,0,46,94,,,,,,,,,10
1982,65,0,,,0,16,42,,,,,,,,,127
1985,117,0,,,0,25,38,,,,,,,,,94
1991,0,20,1.25,1.25,0,85,110,,,,,,,,,0
1992,6,17,1.25,1.25,0,139,139,,,,,,,,,0
1997,8,22,1.25,0.0,,,,,,,,,,,,239
1998,0,30,,,0,30,30,,,,,,,,,317
2000,,,,,0,0,0,,,,,,,,,23
2006,14,3,1.25,1.25,0,236,236,,,,,6.0,6.0,28.0,,0
2008,4,7,,,0,40,40,,,,,,,,,0
2011,0,6,,,0,7,14,,,,,,,,,0
2025,2,3,,,,,,,,,,,,,,0
2030,25,4,1.25,0.0,0,5,66,,,,,,,,,206
2037,14,10,1.25,0.0,0,150,159,,,,,,,,,33
2039,18,0,,,,,,,,,,,,,,161
2042,97,0,,,0,60,102,,,,,,,,,58
2052,61,0,,,0,0,0,,,,,,,,,93
2059,1,29,1.25,1.25,0,116,158,,,,,,,,,14
2064,10,14,,,0,51,59,,,,,20.0,20.0,30.0,,38
2066,0,31,1.25,1.25,0,1294,1294,,,,,11.5276497695852,8.23732718894009,28.8594470046082,12.442396313364,0
2078,16,0,1.25,0.0,,,,,,,,,,,,81
2079,,,,,,,,,,,,,,,,224
2080,,,,,,,,,,,,,,,,35
2084,3,0,,,0,70,92,,,,,,,,,88
2085,20,4,1.25,0.0,0,55,63,,,,,,,,,175
2092,28,0,,,0,0,36,,,,,,,,,26
2099,16,11,1.25,0.0,0,65,73,,,,,,,,,181
2101,,,,,,,,,,,,,,,,172
2104,8,34,1.25,0.0,0,166,439,,,,,4.5,4.5,25.0,,44
2111,4,0,,,,,,,,,,,,,,44
2116,24,0,,,0,12,12,,,,,,,,,0
2117,8,18,1.25,1.25,0,108,162,,,,,11.0,7.5,16.0,190.0,4
2119,0,8,1.25,1.25,0,126,131,,,,,,,,,131
2120,41,0,,,,,,,,,,,,,,112
2133,34,12,1.24999999999999,0.0,0,8,31,,,,,,,,,215
2134,6,10,1.25,1.25,0,165,165,,,,,7.74441340782122,7.98882681564245,17.2067039106145,,184
2135,170,0,,,0,150,215,,,,,,,,,58
2151,25,0,,,0,4,4,,,,,,,,,99
2154,24,0,,,0,0,144,,,,,,,,,0
2155,32,0,0.0,0.0,0,7,7,,,,,,,,,46
2157,44,4,1.25,0.0,0,17,77,,,,,,,,,244
2158,14,0,,,0,36,101,,,,,5.0,5.0,15.0,,5
2171,14,2,1.25,1.25,0,0,0,,,,,,,,,0
2173,,,,,,,,,,,,,,,,58
2177,51,1,1.25,0.0,0,5,13,,,,,,,,,38
2184,0,44,0.5,0.5,,,,,,,,,,,,327
2186,80,0,,,0,0,0,,,,,,,,,2
2187,42,0,,,0,0,0,,,,,,,,,152
2189,8,17,1.25,0.0,0,0,0,,,,,,,,,132
2211,,,,,,,,,,,,,,,,16
2213,,,,,,,,,,,,,,,,34
2217,18,14,2.5,1.25,0,4,30,,,,,,,,,17
2218,0,18,1.25,1.25,0,334,334,,,,,3.0,3.0,12.0,200.0,2
2238,7,11,1.25,0.0,0,94,174,,,,,3.0,3.0,10.0,,0
2239,10,0,,,0,0,0,,,,,,,,,4
2241,25,4,1.25,0.0,0,0,42,,,,,,,,,59
2246,11,10,1.25,0.0,0,92,114,,,,,,,,,86
2250,16,6,1.25,1.25,0,22,28,,,,,,,,,108
2251,0,30,0.5,0.5,5,0,16,,,,,,,,,0
2252,35,14,1.25,0.0,0,14,14,,,,,,,,,17
2253,0,33,0.932427270419756,0.932427270419756,,,,,,,,,,,,0
2259,28,0,,,0,0,2,,,,,,,,,8
2260,,,,,,,,,,,,,,,,68
2266,,,,,,,,,,,,,,,,30
2275,6,25,1.25,1.25,0,179,221,,,,,13.4638554216867,13.4638554216867,33.4638554216867,,0
2279,,,,,0,0,0,,,,,,,,,175
2280,6,18,1.25,1.25,0,7,7,,,,,,,,,32
2284,,,,,,,,,,,,,,,,107
2294,37,1,1.25,0.0,0,10,28,,,,,,,,,8
2298,49,2,1.25,0.0,0,20,40,,,,,,,,,97
2299,55,0,,,0,10,10,,,,,,,,,192
2313,,,,,,,,,,,,,,,,114
2319,14,1,1.25,0.0,0,6,41,,,,,,,,,5
2321,38,0,,,,,,,,,,,,,,109
2324,0,41,1.24999999999999,0.0,0,54,86,,,,,3.63157894736842,3.63157894736842,34.1052631578947,,104
2332,17,10,,,0,0,12,,,,,,,,,191
2333,20,55,1.5,1.5,,,,,,,,,,,,209
2338,76,0,,,0,0,11,,,,,,,,,127
2340,47,0,,,,,,,,,,,,,,128
2346,40,0,,,,,,,,,,,,,,58
2349,,,,,,,,,,,,,,,,214
2356,15,1,1.25,0.0,0,60,80,,,,,3.0,3.0,,,69
2357,34,0,,,0,70,85,,,,,10.5,10.5,27.5,,2
2362,,,,,,,,,,,,,,,,50
2380,,,,,0,0,0,,,,,,,,,0
2389,0,23,0.5,0.5,0,25,30,,,,,,,,,3
2390,20,0,1.25,0.0,0,4,4,,,,,,,,,112
2391,0,28,1.25,1.25,8,62,70,,,,,,,,,245
2396,2,0,,,,,,,,,,,,,,128
2406,36,0,0.0,0.0,0,0,37,,,,,,,,,22
2432,30,0,0.0,0.0,0,65,65,,,,,,,,,65
2447,0,37,0.0,0.0,0,50,72,,,,,,,,,3
2460,,,,,,,,,,,,,,,,145
2475,8,20,1.25,1.25,0,200,200,,,,,,,,,200
2476,66,0,,,0,0,0,,,,,,,,,0
2477,14,24,,,0,6,13,,,,,,,,,191
2484,6,10,1.25,1.25,0,0,48,,,,,,,,,0
2496,14,10,1.25,0.0,0,6,40,,,,,,,,,46
2510,16,7,1.0,1.0,0,60,60,,,,,8.5,10.0,18.5,120.0,301
2513,16,28,,,0,13,23,,,,,,,,,85
2519,0,37,0.249999999999999,0.249999999999999,0,20,20,,,,,,,,,86
2525,14,1,1.25,0.0,0,9,21,,,,,,,,,39
2538,13,35,0.0,0.0,0,16,21,,,,,,,,,445
2547,6,17,1.25,1.25,0,582,772,,,,,11.25,11.25,30.0,,0
2549,0,3,,,,,,,,,,,,,,42
2550,35,16,1.25,1.25,0,0,0,,,,,,,,,0
2569,0,12,1.25,1.25,0,103,103,,,,,,,,,0
2584,30,0,,,,,,,,,,,,,,56
2588,40,0,,,,,,,,,,,,,,38
2606,,,,,,,,,,,,,,,,40
2607,54,0,,,,,,,,,,,,,,211
2611,22,0,0.0,0.0,0,6,6,,,,,,,,,70
2612,6,16,0.335473568325694,0.0,0,30,59,,,,,,,,,45
2620,7,1,1.25,0.0,0,19,28,,,,,,,,,32
2622,,,,,,,,,,,,,,,,196
